% number of nodes
39
% number of vehicles
7
% for each vehicle: vehicle index, home node, starting time, capacity
1,8,102,13200
2,13,72,13200
3,31,49,16500
4,14,0,16500
5,12,0,24000
6,12,0,24000
7,27,39,5800
% number of calls
35
% for each vehicle, vehicle index, and then a list of calls that can be transported using that vehicle
1,1,2,4,8,9,10,11,12,13,14,17,18,20,21,22,24,26,27,28,29,30,31,33,35
2,1,2,4,5,8,9,10,11,12,13,14,17,18,20,21,22,23,24,26,27,29,30,31,33,34,35
3,1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,34,35
4,1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
5,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
6,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
7,1,8,12,13,14,18,21,28,29,31,35
% for each call: call index, origin node, destination node, size, cost of not transporting, lb tw pu, ub tw pu, lb tw d, ub tw d
1,10,38,3838,486864,981,1053,981,1501
2,29,17,7822,867452,852,924,852,1417
3,17,39,15456,573117,184,256,184,779
4,29,27,12362,571695,1248,1320,1248,1790
5,4,34,3136,269649,123,195,123,577
6,11,35,5682,450486,0,72,0,624
7,31,36,2330,512866,12,84,12,506
8,30,36,4364,592380,606,678,606,1336
9,1,17,9121,360621,1160,1232,1160,1576
10,34,8,10786,565067,536,608,536,1167
11,11,34,9567,372154,667,739,667,1099
12,10,14,5315,525320,151,223,151,947
13,29,36,5016,602162,199,271,199,708
14,29,27,2639,406999,637,709,637,1204
15,30,34,15891,488559,948,1020,948,1510
16,33,36,14908,328658,406,478,406,874
17,33,34,12383,452354,243,315,243,721
18,31,37,5193,636144,310,382,310,888
19,30,37,6711,1076675,16,88,16,666
20,4,6,10132,598184,757,829,757,1294
21,14,19,4421,308776,118,190,118,554
22,30,27,10542,538145,591,663,591,1089
23,12,1,11485,527497,67,139,67,551
24,29,35,7054,471006,693,765,693,1543
25,1,39,14539,783125,82,154,82,619
26,10,38,10285,522062,1166,1238,1166,1676
27,6,12,7463,472249,907,979,907,1390
28,24,1,2421,384218,54,126,54,457
29,11,34,2934,426236,465,537,465,1327
30,10,35,9638,620211,414,486,414,978
31,10,37,3299,538409,1104,1176,1104,1670
32,29,12,14049,524063,960,1032,960,1422
33,9,5,11410,596814,820,892,820,1324
34,31,37,9428,520594,60,132,60,801
35,33,39,2377,351367,426,498,426,840
% travel times and costs: vehicle, origin node, destination node, travel time (in minutes), travel cost (in Euro)
2,10,39,63,42807
3,10,39,59,34644
4,10,39,59,34644
5,10,39,71,47478
6,10,39,71,47478
7,10,39,63,21955
1,11,1,110,74439
2,11,1,110,74439
3,11,1,102,60243
4,11,1,102,60243
5,11,1,123,82562
6,11,1,123,82562
7,11,1,110,38179
1,11,2,57,38858
2,11,2,57,38858
3,11,2,53,31448
4,11,2,53,31448
5,11,2,64,43098
6,11,2,64,43098
7,11,2,57,19930
1,11,3,94,63953
2,11,3,94,63953
3,11,3,88,51757
4,11,3,88,51757
5,11,3,106,70931
6,11,3,106,70931
7,11,3,94,32801
1,11,4,26,17826
2,11,4,26,17826
3,11,4,24,14427
4,11,4,24,14427
5,11,4,30,19771
6,11,4,30,19771
7,11,4,26,9143
1,11,5,88,59539
2,11,5,88,59539
3,11,5,82,48184
4,11,5,82,48184
5,11,5,99,66035
6,11,5,99,66035
7,11,5,88,30537
1,11,6,93,63161
2,11,6,93,63161
3,11,6,87,51116
4,11,6,87,51116
5,11,6,105,70053
6,11,6,105,70053
7,11,6,93,32395
1,11,7,89,60719
2,11,7,89,60719
3,11,7,83,49140
4,11,7,83,49140
5,11,7,101,67344
6,11,7,101,67344
7,11,7,89,31142
1,11,8,113,76466
2,11,8,113,76466
3,11,8,105,61884
4,11,8,105,61884
5,11,8,127,84810
6,11,8,127,84810
7,11,8,113,39219
1,11,9,158,106985
2,11,9,158,106985
3,11,9,147,86583
4,11,9,147,86583
5,11,9,177,118659
6,11,9,177,118659
7,11,9,158,54872
1,11,10,9,5800
2,11,10,9,5800
3,11,10,8,4694
4,11,10,8,4694
5,11,10,10,6433
6,11,10,10,6433
7,11,10,9,2975
1,11,11,0,0
2,11,11,0,0
3,11,11,0,0
4,11,11,0,0
5,11,11,0,0
6,11,11,0,0
7,11,11,0,0
1,11,12,64,43734
2,11,12,64,43734
3,11,12,60,35394
4,11,12,60,35394
5,11,12,72,48506
6,11,12,72,48506
7,11,12,64,22431
1,11,13,65,43820
2,11,13,65,43820
3,11,13,60,35463
4,11,13,60,35463
5,11,13,73,48601
6,11,13,73,48601
7,11,13,65,22475
1,11,14,87,58905
2,11,14,87,58905
3,11,14,81,47672
4,11,14,81,47672
5,11,14,98,65333
6,11,14,98,65333
7,11,14,87,30212
1,11,15,104,70881
2,11,15,104,70881
3,11,15,97,57364
4,11,15,97,57364
5,11,15,117,78615
6,11,15,117,78615
7,11,15,104,36354
1,11,16,91,61674
2,11,16,91,61674
3,11,16,85,49912
4,11,16,85,49912
5,11,16,102,68404
6,11,16,102,68404
7,11,16,91,31632
1,11,17,138,93387
2,11,17,138,93387
3,11,17,128,75578
4,11,17,128,75578
5,11,17,155,103577
6,11,17,155,103577
7,11,17,138,47897
1,11,18,160,108889
2,11,18,160,108889
3,11,18,149,88124
4,11,18,149,88124
5,11,18,180,120771
6,11,18,180,120771
7,11,18,160,55848
1,11,19,122,82995
2,11,19,122,82995
3,11,19,114,67168
4,11,19,114,67168
5,11,19,138,92051
6,11,19,138,92051
7,11,19,122,42568
1,11,20,16,10984
2,11,20,16,10984
3,11,20,15,8889
4,11,20,15,8889
5,11,20,18,12182
6,11,20,18,12182
7,11,20,16,5634
1,11,21,15,10057
2,11,21,15,10057
3,11,21,14,8139
4,11,21,14,8139
5,11,21,17,11155
6,11,21,17,11155
7,11,21,15,5158
1,11,22,126,85489
2,11,22,126,85489
3,11,22,117,69186
4,11,22,117,69186
5,11,22,142,94817
6,11,22,142,94817
7,11,22,126,43846
1,11,23,124,84302
2,11,23,124,84302
3,11,23,116,68225
4,11,23,116,68225
5,11,23,140,93501
6,11,23,140,93501
7,11,23,124,43238
1,11,24,126,85489
2,11,24,126,85489
3,11,24,117,69186
4,11,24,117,69186
5,11,24,142,94817
6,11,24,142,94817
7,11,24,126,43846
1,11,25,12,8357
2,11,25,12,8357
3,11,25,11,6763
4,11,25,11,6763
5,11,25,14,9268
6,11,25,14,9268
7,11,25,12,4286
1,11,26,89,60542
2,11,26,89,60542
3,11,26,83,48997
4,11,26,83,48997
5,11,26,100,67148
6,11,26,100,67148
7,11,26,89,31052
1,11,27,142,96619
2,11,27,142,96619
3,11,27,133,78193
4,11,27,133,78193
5,11,27,160,107161
6,11,27,160,107161
7,11,27,142,49555
1,11,28,69,47013
2,11,28,69,47013
3,11,28,64,38048
4,11,28,64,38048
5,11,28,78,52144
6,11,28,78,52144
7,11,28,69,24113
1,11,29,51,34944
2,11,29,51,34944
3,11,29,48,28280
4,11,29,48,28280
5,11,29,58,38757
6,11,29,58,38757
7,11,29,51,17923
1,11,30,54,36842
2,11,30,54,36842
3,11,30,51,29816
4,11,30,51,29816
5,11,30,61,40862
6,11,30,61,40862
7,11,30,54,18896
1,11,31,33,22237
2,11,31,33,22237
3,11,31,31,17997
4,11,31,31,17997
5,11,31,37,24664
6,11,31,37,24664
7,11,31,33,11405
1,11,32,105,71206
2,11,32,105,71206
3,11,32,98,57626
4,11,32,98,57626
5,11,32,118,78975
6,11,32,118,78975
7,11,32,105,36521
1,11,33,4,2696
2,11,33,4,2696
3,11,33,4,2182
4,11,33,4,2182
5,11,33,4,2990
6,11,33,4,2990
7,11,33,4,1383
1,11,34,73,49352
2,11,34,73,49352
3,11,34,68,39941
4,11,34,68,39941
5,11,34,82,54738
6,11,34,82,54738
7,11,34,73,25312
1,11,35,111,75502
2,11,35,111,75502
3,11,35,104,61104
4,11,35,104,61104
5,11,35,125,83741
6,11,35,125,83741
7,11,35,111,38725
1,11,36,70,47364
2,11,36,70,47364
3,11,36,65,38331
4,11,36,65,38331
5,11,36,79,52532
6,11,36,79,52532
7,11,36,70,24292
1,11,37,129,87565
2,11,37,129,87565
3,11,37,120,70866
4,11,37,120,70866
5,11,37,145,97120
6,11,37,145,97120
7,11,37,129,44911
1,11,38,123,83643
2,11,38,123,83643
3,11,38,115,67692
4,11,38,115,67692
5,11,38,139,92769
6,11,38,139,92769
7,11,38,123,42900
1,11,39,71,48318
2,11,39,71,48318
3,11,39,66,39104
4,11,39,66,39104
5,11,39,80,53590
6,11,39,80,53590
7,11,39,71,24782
1,12,1,63,42752
2,12,1,63,42752
3,12,1,59,34599
4,12,1,59,34599
5,12,1,71,47417
6,12,1,71,47417
7,12,1,63,21927
1,12,2,14,9328
2,12,2,14,9328
3,12,2,13,7549
4,12,2,13,7549
5,12,2,15,10346
6,12,2,15,10346
7,12,2,14,4784
1,12,3,48,32266
2,12,3,48,32266
3,12,3,44,26113
4,12,3,44,26113
5,12,3,53,35787
6,12,3,53,35787
7,12,3,48,16549
1,12,4,89,60083
2,12,4,89,60083
3,12,4,82,48625
4,12,4,82,48625
5,12,4,100,66639
6,12,4,100,66639
7,12,4,89,30816
1,12,5,43,29194
2,12,5,43,29194
3,12,5,40,23627
4,12,5,40,23627
5,12,5,48,32380
6,12,5,48,32380
7,12,5,43,14974
1,12,6,46,31474
2,12,6,46,31474
3,12,6,43,25472
4,12,6,43,25472
5,12,6,52,34908
6,12,6,52,34908
7,12,6,46,16143
1,12,7,43,29032
2,12,7,43,29032
3,12,7,40,23496
4,12,7,40,23496
5,12,7,48,32200
6,12,7,48,32200
7,12,7,43,14890
1,12,8,66,44779
2,12,8,66,44779
3,12,8,61,36240
4,12,8,61,36240
5,12,8,74,49666
6,12,8,74,49666
7,12,8,66,22967
1,12,9,111,75298
2,12,9,111,75298
3,12,9,103,60939
4,12,9,103,60939
5,12,9,125,83515
6,12,9,125,83515
7,12,9,111,38620
1,12,10,71,48057
2,12,10,71,48057
3,12,10,66,38892
4,12,10,66,38892
5,12,10,80,53301
6,12,10,80,53301
7,12,10,71,24648
1,12,11,64,43734
2,12,11,64,43734
3,12,11,60,35394
4,12,11,60,35394
5,12,11,72,48506
6,12,11,72,48506
7,12,11,64,22431
1,12,12,0,0
2,12,12,0,0
3,12,12,0,0
4,12,12,0,0
5,12,12,0,0
6,12,12,0,0
7,12,12,0,0
1,12,13,7,4583
2,12,13,7,4583
3,12,13,6,3709
4,12,13,6,3709
5,12,13,8,5083
6,12,13,8,5083
7,12,13,7,2350
1,12,14,40,27218
2,12,14,40,27218
3,12,14,37,22028
4,12,14,37,22028
5,12,14,45,30188
6,12,14,45,30188
7,12,14,40,13960
1,12,15,58,39194
2,12,15,58,39194
3,12,15,54,31719
4,12,15,54,31719
5,12,15,65,43470
6,12,15,65,43470
7,12,15,58,20102
1,12,16,44,29987
2,12,16,44,29987
3,12,16,41,24268
4,12,16,41,24268
5,12,16,50,33259
6,12,16,50,33259
7,12,16,44,15380
1,12,17,91,61700
2,12,17,91,61700
3,12,17,85,49934
4,12,17,85,49934
5,12,17,102,68433
6,12,17,102,68433
7,12,17,91,31645
1,12,18,114,77618
2,12,18,114,77618
3,12,18,106,62816
4,12,18,106,62816
5,12,18,129,86088
6,12,18,129,86088
7,12,18,114,39810
1,12,19,76,51309
2,12,19,76,51309
3,12,19,70,41524
4,12,19,70,41524
5,12,19,85,56907
6,12,19,85,56907
7,12,19,76,26316
1,12,20,50,33929
2,12,20,50,33929
3,12,20,47,27458
4,12,20,47,27458
5,12,20,56,37631
6,12,20,56,37631
7,12,20,50,17402
1,12,21,52,35196
2,12,21,52,35196
3,12,21,48,28484
4,12,21,48,28484
5,12,21,58,39036
6,12,21,58,39036
7,12,21,52,18052
1,12,22,79,53802
2,12,22,79,53802
3,12,22,74,43542
4,12,22,74,43542
5,12,22,89,59672
6,12,22,89,59672
7,12,22,79,27594
1,12,23,78,52615
2,12,23,78,52615
3,12,23,72,42581
4,12,23,72,42581
5,12,23,87,58356
6,12,23,87,58356
7,12,23,78,26986
1,12,24,79,53802
2,12,24,79,53802
3,12,24,74,43542
4,12,24,74,43542
5,12,24,89,59672
6,12,24,89,59672
7,12,24,79,27594
1,12,25,53,35794
2,12,25,53,35794
3,12,25,49,28968
4,12,25,49,28968
5,12,25,59,39699
6,12,25,59,39699
7,12,25,53,18358
1,12,26,43,28855
2,12,26,43,28855
3,12,26,40,23353
4,12,26,40,23353
5,12,26,48,32004
6,12,26,48,32004
7,12,26,43,14800
1,12,27,96,64932
2,12,27,96,64932
3,12,27,89,52549
4,12,27,89,52549
5,12,27,108,72017
6,12,27,108,72017
7,12,27,96,33303
1,12,28,23,15875
2,12,28,23,15875
3,12,28,22,12848
4,12,28,22,12848
5,12,28,26,17608
6,12,28,26,17608
7,12,28,23,8142
1,12,29,99,67476
2,12,29,99,67476
3,12,29,93,54608
4,12,29,93,54608
5,12,29,112,74839
6,12,29,112,74839
7,12,29,99,34608
1,12,30,15,9884
2,12,30,15,9884
3,12,30,14,7999
4,12,30,14,7999
5,12,30,16,10963
6,12,30,16,10963
7,12,30,15,5069
1,12,31,34,23025
2,12,31,34,23025
3,12,31,32,18634
4,12,31,32,18634
5,12,31,38,25538
6,12,31,38,25538
7,12,31,34,11809
1,12,32,58,39519
2,12,32,58,39519
3,12,32,54,31982
4,12,32,54,31982
5,12,32,66,43831
6,12,32,66,43831
7,12,32,58,20269
1,12,33,68,46134
2,12,33,68,46134
3,12,33,63,37336
4,12,33,63,37336
5,12,33,76,51168
6,12,33,76,51168
7,12,33,68,23662
1,12,34,135,91609
2,12,34,135,91609
3,12,34,126,74139
4,12,34,126,74139
5,12,34,152,101605
6,12,34,152,101605
7,12,34,135,46986
1,12,35,173,117759
2,12,35,173,117759
3,12,35,162,95302
4,12,35,162,95302
5,12,35,195,130609
6,12,35,195,130609
7,12,35,173,60398
1,12,36,132,89620
2,12,36,132,89620
3,12,36,123,72530
4,12,36,123,72530
5,12,36,149,99400
6,12,36,149,99400
7,12,36,132,45966
1,12,37,191,129821
2,12,37,191,129821
3,12,37,178,105064
4,12,37,178,105064
5,12,37,215,143987
6,12,37,215,143987
7,12,37,191,66584
1,12,38,185,125899
2,12,38,185,125899
3,12,38,173,101890
4,12,38,173,101890
5,12,38,209,139637
6,12,38,209,139637
7,12,38,185,64573
1,12,39,133,90574
2,12,39,133,90574
3,12,39,124,73302
4,12,39,124,73302
5,12,39,150,100458
6,12,39,150,100458
7,12,39,133,46455
1,13,1,58,39524
2,13,1,58,39524
3,13,1,54,31987
4,13,1,54,31987
5,13,1,66,43837
6,13,1,66,43837
7,13,1,58,20272
1,13,2,18,12169
2,13,2,18,12169
3,13,2,17,9848
4,13,2,17,9848
5,13,2,20,13497
6,13,2,20,13497
7,13,2,18,6241
1,13,3,43,29038
2,13,3,43,29038
3,13,3,40,23501
4,13,3,40,23501
5,13,3,48,32207
6,13,3,48,32207
7,13,3,43,14893
1,13,4,89,60168
2,13,4,89,60168
3,13,4,83,48694
4,13,4,83,48694
5,13,4,100,66734
6,13,4,100,66734
7,13,4,89,30860
1,13,5,38,25966
2,13,5,38,25966
3,13,5,36,21014
4,13,5,36,21014
5,13,5,43,28800
6,13,5,43,28800
7,13,5,38,13318
1,13,6,42,28246
2,13,6,42,28246
3,13,6,39,22859
4,13,6,39,22859
5,13,6,47,31328
6,13,6,47,31328
7,13,6,42,14487
1,13,7,38,25804
2,13,7,38,25804
3,13,7,35,20883
4,13,7,35,20883
5,13,7,43,28620
6,13,7,43,28620
7,13,7,38,13235
1,13,8,61,41552
2,13,8,61,41552
3,13,8,57,33628
4,13,8,57,33628
5,13,8,69,46086
6,13,8,69,46086
7,13,8,61,21311
1,13,9,106,72071
2,13,9,106,72071
3,13,9,99,58327
4,13,9,99,58327
5,13,9,119,79935
6,13,9,119,79935
7,13,9,106,36964
1,13,10,71,48142
2,13,10,71,48142
3,13,10,66,38961
4,13,10,66,38961
5,13,10,80,53395
6,13,10,80,53395
7,13,10,71,24692
1,13,11,65,43820
2,13,11,65,43820
3,13,11,60,35463
4,13,11,60,35463
5,13,11,73,48601
6,13,11,73,48601
7,13,11,65,22475
1,13,12,7,4583
2,13,12,7,4583
3,13,12,6,3709
4,13,12,6,3709
5,13,12,8,5083
6,13,12,8,5083
7,13,12,7,2350
1,13,13,0,0
2,13,13,0,0
3,13,13,0,0
4,13,13,0,0
5,13,13,0,0
6,13,13,0,0
7,13,13,0,0
1,13,14,35,23990
2,13,14,35,23990
3,13,14,33,19415
4,13,14,33,19415
5,13,14,40,26608
6,13,14,40,26608
7,13,14,35,12304
1,13,15,53,35966
2,13,15,53,35966
3,13,15,49,29107
4,13,15,49,29107
5,13,15,60,39890
6,13,15,60,39890
7,13,15,53,18447
1,13,16,39,26759
2,13,16,39,26759
3,13,16,37,21656
4,13,16,37,21656
5,13,16,44,29679
6,13,16,44,29679
7,13,16,39,13725
1,13,17,86,58472
2,13,17,86,58472
3,13,17,80,47321
4,13,17,80,47321
5,13,17,97,64852
6,13,17,97,64852
7,13,17,86,29990
1,13,18,110,74390
2,13,18,110,74390
3,13,18,102,60204
4,13,18,102,60204
5,13,18,123,82508
6,13,18,123,82508
7,13,18,110,38154
1,13,19,71,48081
2,13,19,71,48081
3,13,19,66,38911
4,13,19,66,38911
5,13,19,80,53327
6,13,19,80,53327
7,13,19,71,24660
1,13,20,50,34014
2,13,20,50,34014
3,13,20,47,27528
4,13,20,47,27528
5,13,20,56,37726
6,13,20,56,37726
7,13,20,50,17446
1,13,21,52,35281
2,13,21,52,35281
3,13,21,48,28553
4,13,21,48,28553
5,13,21,58,39131
6,13,21,58,39131
7,13,21,52,18095
1,13,22,75,50574
2,13,22,75,50574
3,13,22,69,40929
4,13,22,69,40929
5,13,22,84,56092
6,13,22,84,56092
7,13,22,75,25939
1,13,23,73,49387
2,13,23,73,49387
3,13,23,68,39969
4,13,23,68,39969
5,13,23,82,54776
6,13,23,82,54776
7,13,23,73,25330
1,13,24,75,50574
2,13,24,75,50574
3,13,24,69,40929
4,13,24,69,40929
5,13,24,84,56092
6,13,24,84,56092
7,13,24,75,25939
1,13,25,53,35879
2,13,25,53,35879
3,13,25,49,29037
4,13,25,49,29037
5,13,25,59,39794
6,13,25,59,39794
7,13,25,53,18402
1,13,26,38,25628
2,13,26,38,25628
3,13,26,35,20740
4,13,26,35,20740
5,13,26,42,28424
6,13,26,42,28424
7,13,26,38,13144
1,13,27,91,61704
2,13,27,91,61704
3,13,27,85,49937
4,13,27,85,49937
5,13,27,102,68437
6,13,27,102,68437
7,13,27,91,31647
1,13,28,19,12648
2,13,28,19,12648
3,13,28,17,10236
4,13,28,17,10236
5,13,28,21,14028
6,13,28,21,14028
7,13,28,19,6487
1,13,29,100,67562
2,13,29,100,67562
3,13,29,93,54677
4,13,29,93,54677
5,13,29,112,74934
6,13,29,112,74934
7,13,29,100,34652
1,13,30,18,12220
2,13,30,18,12220
3,13,30,17,9890
4,13,30,17,9890
5,13,30,20,13553
6,13,30,20,13553
7,13,30,18,6268
1,13,31,34,23110
2,13,31,34,23110
3,13,31,32,18703
4,13,31,32,18703
5,13,31,38,25632
6,13,31,38,25632
7,13,31,34,11853
1,13,32,53,36291
2,13,32,53,36291
3,13,32,50,29370
4,13,32,50,29370
5,13,32,60,40251
6,13,32,60,40251
7,13,32,53,18613
1,13,33,68,46219
2,13,33,68,46219
3,13,33,63,37405
4,13,33,63,37405
5,13,33,77,51263
6,13,33,77,51263
7,13,33,68,23706
1,13,34,135,91694
2,13,34,135,91694
3,13,34,126,74208
4,13,34,126,74208
5,13,34,152,101700
6,13,34,152,101700
7,13,34,135,47029
1,13,35,174,117844
2,13,35,174,117844
3,13,35,162,95371
4,13,35,162,95371
5,13,35,195,130703
6,13,35,195,130703
7,13,35,174,60441
1,13,36,132,89706
2,13,36,132,89706
3,13,36,123,72599
4,13,36,123,72599
5,13,36,149,99494
6,13,36,149,99494
7,13,36,132,46009
1,13,37,191,129907
2,13,37,191,129907
3,13,37,178,105133
4,13,37,178,105133
5,13,37,215,144082
6,13,37,215,144082
7,13,37,191,66628
1,13,38,186,125984
2,13,38,186,125984
3,13,38,173,101959
4,13,38,173,101959
5,13,38,209,139731
6,13,38,209,139731
7,13,38,186,64616
1,13,39,134,90660
2,13,39,134,90660
3,13,39,124,73371
4,13,39,124,73371
5,13,39,150,100552
6,13,39,150,100552
7,13,39,134,46499
1,14,1,24,16035
2,14,1,24,16035
3,14,1,22,12977
4,14,1,22,12977
5,14,1,27,17784
6,14,1,27,17784
7,14,1,24,8224
1,14,2,48,32497
2,14,2,48,32497
3,14,2,45,26299
4,14,2,45,26299
5,14,2,54,36043
6,14,2,54,36043
7,14,2,48,16667
1,14,3,8,5238
2,14,3,8,5238
3,14,3,7,4239
4,14,3,7,4239
5,14,3,9,5810
6,14,3,9,5810
7,14,3,8,2687
1,14,4,111,75254
2,14,4,111,75254
3,14,4,103,60903
4,14,4,103,60903
5,14,4,125,83465
6,14,4,125,83465
7,14,4,111,38597
1,14,5,44,29532
2,14,5,44,29532
3,14,5,41,23900
4,14,5,41,23900
5,14,5,49,32754
6,14,5,49,32754
7,14,5,44,15147
1,14,6,6,4283
2,14,6,6,4283
3,14,6,6,3466
4,14,6,6,3466
5,14,6,7,4751
6,14,6,7,4751
7,14,6,6,2197
1,14,7,3,1841
2,14,7,3,1841
3,14,7,3,1490
4,14,7,3,1490
5,14,7,3,2042
6,14,7,3,2042
7,14,7,3,944
1,14,8,27,18062
2,14,8,27,18062
3,14,8,25,14617
4,14,8,25,14617
5,14,8,30,20033
6,14,8,30,20033
7,14,8,27,9264
1,14,9,72,48581
2,14,9,72,48581
3,14,9,67,39316
4,14,9,67,39316
5,14,9,81,53882
6,14,9,81,53882
7,14,9,72,24917
1,14,10,93,63227
2,14,10,93,63227
3,14,10,87,51170
4,14,10,87,51170
5,14,10,105,70127
6,14,10,105,70127
7,14,10,93,32429
1,14,11,87,58905
2,14,11,87,58905
3,14,11,81,47672
4,14,11,81,47672
5,14,11,98,65333
6,14,11,98,65333
7,14,11,87,30212
1,14,12,40,27218
2,14,12,40,27218
3,14,12,37,22028
4,14,12,37,22028
5,14,12,45,30188
6,14,12,45,30188
7,14,12,40,13960
1,14,13,35,23990
2,14,13,35,23990
3,14,13,33,19415
4,14,13,33,19415
5,14,13,40,26608
6,14,13,40,26608
7,14,13,35,12304
1,14,14,0,0
2,14,14,0,0
3,14,14,0,0
4,14,14,0,0
5,14,14,0,0
6,14,14,0,0
7,14,14,0,0
1,14,15,20,13622
2,14,15,20,13622
3,14,15,19,11024
4,14,15,19,11024
5,14,15,23,15108
6,14,15,23,15108
7,14,15,20,6987
1,14,16,4,2796
2,14,16,4,2796
3,14,16,4,2263
4,14,16,4,2263
5,14,16,5,3101
6,14,16,5,3101
7,14,16,4,1434
1,14,17,52,34982
2,14,17,52,34982
3,14,17,48,28311
4,14,17,48,28311
5,14,17,58,38800
6,14,17,58,38800
7,14,17,52,17942
1,14,18,76,51789
2,14,18,76,51789
3,14,18,71,41913
4,14,18,71,41913
5,14,18,86,57440
6,14,18,86,57440
7,14,18,76,26562
1,14,19,37,25311
2,14,19,37,25311
3,14,19,35,20484
4,14,19,35,20484
5,14,19,42,28073
6,14,19,42,28073
7,14,19,37,12982
1,14,20,72,49099
2,14,20,72,49099
3,14,20,67,39736
4,14,20,67,39736
5,14,20,81,54457
6,14,20,81,54457
7,14,20,72,25183
1,14,21,74,50366
2,14,21,74,50366
3,14,21,69,40761
4,14,21,69,40761
5,14,21,83,55862
6,14,21,83,55862
7,14,21,74,25833
1,14,22,40,27084
2,14,22,40,27084
3,14,22,37,21919
4,14,22,37,21919
5,14,22,45,30039
6,14,22,45,30039
7,14,22,40,13891
1,14,23,38,25897
2,14,23,38,25897
3,14,23,36,20959
4,14,23,36,20959
5,14,23,43,28723
6,14,23,43,28723
7,14,23,38,13283
1,14,24,40,27084
2,14,24,40,27084
3,14,24,37,21919
4,14,24,37,21919
5,14,24,45,30039
6,14,24,45,30039
7,14,24,40,13891
1,14,25,75,50964
2,14,25,75,50964
3,14,25,70,41245
4,14,25,70,41245
5,14,25,84,56525
6,14,25,84,56525
7,14,25,75,26139
1,14,26,6,4173
2,14,26,6,4173
3,14,26,6,3377
4,14,26,6,3377
5,14,26,7,4629
6,14,26,7,4629
7,14,26,6,2140
1,14,27,56,38214
2,14,27,56,38214
3,14,27,52,30926
4,14,27,52,30926
5,14,27,63,42384
6,14,27,63,42384
7,14,27,56,19600
1,14,28,21,14549
2,14,28,21,14549
3,14,28,20,11774
4,14,28,20,11774
5,14,28,24,16136
6,14,28,24,16136
7,14,28,21,7462
1,14,29,122,82647
2,14,29,122,82647
3,14,29,113,66886
4,14,29,113,66886
5,14,29,137,91665
6,14,29,137,91665
7,14,29,122,42389
1,14,30,47,31832
2,14,30,47,31832
3,14,30,44,25761
4,14,30,44,25761
5,14,30,53,35305
6,14,30,53,35305
7,14,30,47,16326
1,14,31,56,38196
2,14,31,56,38196
3,14,31,52,30912
4,14,31,52,30912
5,14,31,63,42364
6,14,31,63,42364
7,14,31,56,19590
1,14,32,19,12801
2,14,32,19,12801
3,14,32,18,10360
4,14,32,18,10360
5,14,32,21,14198
6,14,32,21,14198
7,14,32,19,6566
1,14,33,90,61305
2,14,33,90,61305
3,14,33,84,49614
4,14,33,84,49614
5,14,33,102,67994
6,14,33,102,67994
7,14,33,90,31443
1,14,34,157,106780
2,14,34,157,106780
3,14,34,146,86417
4,14,34,146,86417
5,14,34,177,118431
6,14,34,177,118431
7,14,34,157,54766
1,14,35,196,132930
2,14,35,196,132930
3,14,35,182,107580
4,14,35,182,107580
5,14,35,220,147435
6,14,35,220,147435
7,14,35,196,68179
1,14,36,154,104791
2,14,36,154,104791
3,14,36,144,84807
4,14,36,144,84807
5,14,36,174,116226
6,14,36,174,116226
7,14,36,154,53746
1,14,37,214,144992
2,14,37,214,144992
3,14,37,199,117342
4,14,37,199,117342
5,14,37,240,160813
6,14,37,240,160813
7,14,37,214,74365
1,14,38,208,141070
2,14,38,208,141070
3,14,38,194,114167
4,14,38,194,114167
5,14,38,234,156463
6,14,38,234,156463
7,14,38,208,72354
1,14,39,156,105745
2,14,39,156,105745
3,14,39,145,85579
4,14,39,145,85579
5,14,39,175,117284
6,14,39,175,117284
7,14,39,156,54236
1,15,1,28,18784
2,15,1,28,18784
3,15,1,26,15202
4,15,1,26,15202
5,15,1,31,20834
6,15,1,31,20834
7,15,1,28,9634
1,15,2,66,44472
2,15,2,66,44472
3,15,2,61,35991
4,15,2,61,35991
5,15,2,74,49325
6,15,2,74,49325
7,15,2,66,22809
1,15,3,20,13653
2,15,3,20,13653
3,15,3,19,11049
4,15,3,19,11049
5,15,3,23,15143
6,15,3,23,15143
7,15,3,20,7003
1,15,4,129,87229
2,15,4,129,87229
3,15,4,120,70594
4,15,4,120,70594
5,15,4,145,96747
6,15,4,145,96747
7,15,4,129,44739
1,15,5,55,37139
2,15,5,55,37139
3,15,5,51,30057
4,15,5,51,30057
5,15,5,62,41191
6,15,5,62,41191
7,15,5,55,19048
1,15,6,22,15222
2,15,6,22,15222
3,15,6,21,12319
4,15,6,21,12319
5,15,6,25,16883
6,15,6,25,16883
7,15,6,22,7807
1,15,7,20,13352
2,15,7,20,13352
3,15,7,18,10806
4,15,7,18,10806
5,15,7,22,14809
6,15,7,22,14809
7,15,7,20,6848
1,15,8,30,20665
2,15,8,30,20665
