%  number of nodes
39
%  number of vehicles
3
%  for each vehicle: vehicle index, home node, starting time, capacity
1,8,125,13200
2,13,106,13200
3,31,0,16500
% number of calls
7
%  for each vehicle, vehicle index, and then a list of calls that can be transported using that vehicle
1,1,3,7
2,1,3,7
3,1,2,3,4,5,6,7
% for each call: call index, origin node, destination node, size, cost of not transporting, lowerbound timewindow for pickup, upper_timewindow for pickup, lowerbound timewindow for delivery, upper_timewindow for delivery
1,17,37,4601,790000,345,417,345,1006
2,33,36,13444,430790,96,168,96,529
3,17,27,6596,200354,715,787,715,1089
4,6,1,11052,275455,0,72,0,435
5,38,33,6643,642740,107,179,107,593
6,10,38,14139,587198,300,372,300,801
7,26,6,5310,359885,178,250,178,567
%  travel times and costs: vehicle, origin node, destination node, travel time (in hours), travel cost (in Euro)
2,11,11,0,0
3,11,11,0,0
1,11,12,64,43734
2,11,12,64,43734
3,11,12,60,35394
1,11,13,65,43820
2,11,13,65,43820
3,11,13,60,35463
1,11,14,87,58905
2,11,14,87,58905
3,11,14,81,47672
1,11,15,104,70881
2,11,15,104,70881
3,11,15,97,57364
1,11,16,91,61674
2,11,16,91,61674
3,11,16,85,49912
1,11,17,138,93387
2,11,17,138,93387
3,11,17,128,75578
1,11,18,160,108889
2,11,18,160,108889
3,11,18,149,88124
1,11,19,122,82995
2,11,19,122,82995
3,11,19,114,67168
1,11,20,16,10984
2,11,20,16,10984
3,11,20,15,8889
1,11,21,15,10057
2,11,21,15,10057
3,11,21,14,8139
1,11,22,126,85489
2,11,22,126,85489
3,11,22,117,69186
1,11,23,124,84302
2,11,23,124,84302
3,11,23,116,68225
1,11,24,126,85489
2,11,24,126,85489
3,11,24,117,69186
1,11,25,12,8357
2,11,25,12,8357
3,11,25,11,6763
1,11,26,89,60542
2,11,26,89,60542
3,11,26,83,48997
1,11,27,142,96619
2,11,27,142,96619
3,11,27,133,78193
1,11,28,69,47013
2,11,28,69,47013
3,11,28,64,38048
1,11,29,51,34944
2,11,29,51,34944
3,11,29,48,28280
1,11,30,54,36842
2,11,30,54,36842
3,11,30,51,29816
1,11,31,33,22237
2,11,31,33,22237
3,11,31,31,17997
1,11,32,105,71206
2,11,32,105,71206
3,11,32,98,57626
1,11,33,4,2696
2,11,33,4,2696
3,11,33,4,2182
1,11,34,73,49352
2,11,34,73,49352
3,11,34,68,39941
1,11,35,111,75502
2,11,35,111,75502
3,11,35,104,61104
1,11,36,70,47364
2,11,36,70,47364
3,11,36,65,38331
1,11,37,129,87565
2,11,37,129,87565
3,11,37,120,70866
1,11,38,123,83643
2,11,38,123,83643
3,11,38,115,67692
1,11,39,71,48318
2,11,39,71,48318
3,11,39,66,39104
1,12,1,63,42752
2,12,1,63,42752
3,12,1,59,34599
1,12,2,14,9328
2,12,2,14,9328
3,12,2,13,7549
1,12,3,48,32266
2,12,3,48,32266
3,12,3,44,26113
1,12,4,89,60083
2,12,4,89,60083
3,12,4,82,48625
1,12,5,43,29194
2,12,5,43,29194
3,12,5,40,23627
1,12,6,46,31474
2,12,6,46,31474
3,12,6,43,25472
1,12,7,43,29032
2,12,7,43,29032
3,12,7,40,23496
1,12,8,66,44779
2,12,8,66,44779
3,12,8,61,36240
1,12,9,111,75298
2,12,9,111,75298
3,12,9,103,60939
1,12,10,71,48057
2,12,10,71,48057
3,12,10,66,38892
1,12,11,64,43734
2,12,11,64,43734
3,12,11,60,35394
1,12,12,0,0
2,12,12,0,0
3,12,12,0,0
1,12,13,7,4583
2,12,13,7,4583
3,12,13,6,3709
1,12,14,40,27218
2,12,14,40,27218
3,12,14,37,22028
1,12,15,58,39194
2,12,15,58,39194
3,12,15,54,31719
1,12,16,44,29987
2,12,16,44,29987
3,12,16,41,24268
1,12,17,91,61700
2,12,17,91,61700
3,12,17,85,49934
1,12,18,114,77618
2,12,18,114,77618
3,12,18,106,62816
1,12,19,76,51309
2,12,19,76,51309
3,12,19,70,41524
1,12,20,50,33929
2,12,20,50,33929
3,12,20,47,27458
1,12,21,52,35196
2,12,21,52,35196
3,12,21,48,28484
1,12,22,79,53802
2,12,22,79,53802
3,12,22,74,43542
1,12,23,78,52615
2,12,23,78,52615
3,12,23,72,42581
1,12,24,79,53802
2,12,24,79,53802
3,12,24,74,43542
1,12,25,53,35794
2,12,25,53,35794
3,12,25,49,28968
1,12,26,43,28855
2,12,26,43,28855
3,12,26,40,23353
1,12,27,96,64932
2,12,27,96,64932
3,12,27,89,52549
1,12,28,23,15875
2,12,28,23,15875
3,12,28,22,12848
1,12,29,99,67476
2,12,29,99,67476
3,12,29,93,54608
1,12,30,15,9884
2,12,30,15,9884
3,12,30,14,7999
1,12,31,34,23025
2,12,31,34,23025
3,12,31,32,18634
1,12,32,58,39519
2,12,32,58,39519
3,12,32,54,31982
1,12,33,68,46134
2,12,33,68,46134
3,12,33,63,37336
1,12,34,135,91609
2,12,34,135,91609
3,12,34,126,74139
1,12,35,173,117759
2,12,35,173,117759
3,12,35,162,95302
1,12,36,132,89620
2,12,36,132,89620
3,12,36,123,72530
1,12,37,191,129821
2,12,37,191,129821
3,12,37,178,105064
1,12,38,185,125899
2,12,38,185,125899
3,12,38,173,101890
1,12,39,133,90574
2,12,39,133,90574
3,12,39,124,73302
1,13,1,58,39524
2,13,1,58,39524
3,13,1,54,31987
1,13,2,18,12169
2,13,2,18,12169
3,13,2,17,9848
1,13,3,43,29038
2,13,3,43,29038
3,13,3,40,23501
1,13,4,89,60168
2,13,4,89,60168
3,13,4,83,48694
1,13,5,38,25966
2,13,5,38,25966
3,13,5,36,21014
1,13,6,42,28246
2,13,6,42,28246
3,13,6,39,22859
1,13,7,38,25804
2,13,7,38,25804
3,13,7,35,20883
1,13,8,61,41552
2,13,8,61,41552
3,13,8,57,33628
1,13,9,106,72071
2,13,9,106,72071
3,13,9,99,58327
1,13,10,71,48142
2,13,10,71,48142
3,13,10,66,38961
1,13,11,65,43820
2,13,11,65,43820
3,13,11,60,35463
1,13,12,7,4583
2,13,12,7,4583
3,13,12,6,3709
1,13,13,0,0
2,13,13,0,0
3,13,13,0,0
1,13,14,35,23990
2,13,14,35,23990
3,13,14,33,19415
1,13,15,53,35966
2,13,15,53,35966
3,13,15,49,29107
1,13,16,39,26759
2,13,16,39,26759
3,13,16,37,21656
1,13,17,86,58472
2,13,17,86,58472
3,13,17,80,47321
1,13,18,110,74390
2,13,18,110,74390
3,13,18,102,60204
1,13,19,71,48081
2,13,19,71,48081
3,13,19,66,38911
1,13,20,50,34014
2,13,20,50,34014
3,13,20,47,27528
1,13,21,52,35281
2,13,21,52,35281
3,13,21,48,28553
1,13,22,75,50574
2,13,22,75,50574
3,13,22,69,40929
1,13,23,73,49387
2,13,23,73,49387
3,13,23,68,39969
1,13,24,75,50574
2,13,24,75,50574
3,13,24,69,40929
1,13,25,53,35879
2,13,25,53,35879
3,13,25,49,29037
1,13,26,38,25628
2,13,26,38,25628
3,13,26,35,20740
1,13,27,91,61704
2,13,27,91,61704
3,13,27,85,49937
1,13,28,19,12648
2,13,28,19,12648
3,13,28,17,10236
1,13,29,100,67562
2,13,29,100,67562
3,13,29,93,54677
1,13,30,18,12220
2,13,30,18,12220
3,13,30,17,9890
1,13,31,34,23110
2,13,31,34,23110
3,13,31,32,18703
1,13,32,53,36291
2,13,32,53,36291
3,13,32,50,29370
1,13,33,68,46219
2,13,33,68,46219
3,13,33,63,37405
1,13,34,135,91694
2,13,34,135,91694
3,13,34,126,74208
1,13,35,174,117844
2,13,35,174,117844
3,13,35,162,95371
1,13,36,132,89706
2,13,36,132,89706
3,13,36,123,72599
1,13,37,191,129907
2,13,37,191,129907
3,13,37,178,105133
1,13,38,186,125984
2,13,38,186,125984
3,13,38,173,101959
1,13,39,134,90660
2,13,39,134,90660
3,13,39,124,73371
1,14,1,24,16035
2,14,1,24,16035
3,14,1,22,12977
1,14,2,48,32497
2,14,2,48,32497
3,14,2,45,26299
1,14,3,8,5238
2,14,3,8,5238
3,14,3,7,4239
1,14,4,111,75254
2,14,4,111,75254
3,14,4,103,60903
1,14,5,44,29532
2,14,5,44,29532
3,14,5,41,23900
1,14,6,6,4283
2,14,6,6,4283
3,14,6,6,3466
1,14,7,3,1841
2,14,7,3,1841
3,14,7,3,1490
1,14,8,27,18062
2,14,8,27,18062
3,14,8,25,14617
1,14,9,72,48581
2,14,9,72,48581
3,14,9,67,39316
1,14,10,93,63227
2,14,10,93,63227
3,14,10,87,51170
1,14,11,87,58905
2,14,11,87,58905
3,14,11,81,47672
1,14,12,40,27218
2,14,12,40,27218
3,14,12,37,22028
1,14,13,35,23990
2,14,13,35,23990
3,14,13,33,19415
1,14,14,0,0
2,14,14,0,0
3,14,14,0,0
1,14,15,20,13622
2,14,15,20,13622
3,14,15,19,11024
1,14,16,4,2796
2,14,16,4,2796
3,14,16,4,2263
1,14,17,52,34982
2,14,17,52,34982
3,14,17,48,28311
1,14,18,76,51789
2,14,18,76,51789
3,14,18,71,41913
1,14,19,37,25311
2,14,19,37,25311
3,14,19,35,20484
1,14,20,72,49099
2,14,20,72,49099
3,14,20,67,39736
1,14,21,74,50366
2,14,21,74,50366
3,14,21,69,40761
1,14,22,40,27084
2,14,22,40,27084
3,14,22,37,21919
1,14,23,38,25897
2,14,23,38,25897
3,14,23,36,20959
1,14,24,40,27084
2,14,24,40,27084
3,14,24,37,21919
1,14,25,75,50964
2,14,25,75,50964
3,14,25,70,41245
1,14,26,6,4173
2,14,26,6,4173
3,14,26,6,3377
1,14,27,56,38214
2,14,27,56,38214
3,14,27,52,30926
1,14,28,21,14549
2,14,28,21,14549
3,14,28,20,11774
1,14,29,122,82647
2,14,29,122,82647
3,14,29,113,66886
1,14,30,47,31832
2,14,30,47,31832
3,14,30,44,25761
1,14,31,56,38196
2,14,31,56,38196
3,14,31,52,30912
1,14,32,19,12801
2,14,32,19,12801
3,14,32,18,10360
1,14,33,90,61305
2,14,33,90,61305
3,14,33,84,49614
1,14,34,157,106780
2,14,34,157,106780
3,14,34,146,86417
1,14,35,196,132930
2,14,35,196,132930
3,14,35,182,107580
1,14,36,154,104791
2,14,36,154,104791
3,14,36,144,84807
1,14,37,214,144992
2,14,37,214,144992
3,14,37,199,117342
1,14,38,208,141070
2,14,38,208,141070
3,14,38,194,114167
1,14,39,156,105745
2,14,39,156,105745
3,14,39,145,85579
1,15,1,28,18784
2,15,1,28,18784
3,15,1,26,15202
1,15,2,66,44472
2,15,2,66,44472
3,15,2,61,35991
1,15,3,20,13653
2,15,3,20,13653
3,15,3,19,11049
1,15,4,129,87229
2,15,4,129,87229
3,15,4,120,70594
1,15,5,55,37139
2,15,5,55,37139
3,15,5,51,30057
1,15,6,22,15222
2,15,6,22,15222
3,15,6,21,12319
1,15,7,20,13352
2,15,7,20,13352
3,15,7,18,10806
1,15,8,30,20665
2,15,8,30,20665
3,15,8,28,16724
1,15,9,75,51184
2,15,9,75,51184
3,15,9,70,41423
1,15,10,111,75203
2,15,10,111,75203
3,15,10,103,60862
1,15,11,104,70881
2,15,11,104,70881
3,15,11,97,57364
1,15,12,58,39194
2,15,12,58,39194
3,15,12,54,31719
1,15,13,53,35966
2,15,13,53,35966
3,15,13,49,29107
1,15,14,20,13622
2,15,14,20,13622
3,15,14,19,11024
1,15,15,0,0
2,15,15,0,0
3,15,15,0,0
1,15,16,20,13735
2,15,16,20,13735
3,15,16,19,11116
1,15,17,55,37586
2,15,17,55,37586
3,15,17,52,30418
1,15,18,63,42781
2,15,18,63,42781
3,15,18,59,34622
1,15,19,26,17936
2,15,19,26,17936
3,15,19,25,14515
1,15,20,90,61075
2,15,20,90,61075
3,15,20,84,49428
1,15,21,92,62342
2,15,21,92,62342
3,15,21,86,50453
1,15,22,44,29687
2,15,22,44,29687
3,15,22,41,24026
1,15,23,42,28501
2,15,23,42,28501
3,15,23,39,23065
1,15,24,44,29687
2,15,24,44,29687
3,15,24,41,24026
1,15,25,93,62940
2,15,25,93,62940
3,15,25,86,50937
1,15,26,20,13790
2,15,26,20,13790
3,15,26,19,11160
1,15,27,60,40817
2,15,27,60,40817
3,15,27,56,33033
1,15,28,39,26459
2,15,28,39,26459
3,15,28,36,21413
1,15,29,139,94623
2,15,29,139,94623
3,15,29,130,76578
1,15,30,65,43807
2,15,30,65,43807
3,15,30,60,35453
1,15,31,74,50172
2,15,31,74,50172
3,15,31,69,40604
1,15,32,24,16006
2,15,32,24,16006
3,15,32,22,12954
1,15,33,108,73280
2,15,33,108,73280
3,15,33,101,59306
1,15,34,175,118755
2,15,34,175,118755
3,15,34,163,96108
1,15,35,213,144905
2,15,35,213,144905
3,15,35,199,117272
1,15,36,172,116767
2,15,36,172,116767
3,15,36,160,94499
1,15,37,231,156968
2,15,37,231,156968
3,15,37,215,127033
1,15,38,225,153045
2,15,38,225,153045
3,15,38,210,123859
1,15,39,173,117721
2,15,39,173,117721
3,15,39,161,95271
1,16,1,21,14424
2,16,1,21,14424
3,16,1,20,11673
1,16,2,52,35265
2,16,2,52,35265
3,16,2,48,28540
1,16,3,5,3482
2,16,3,5,3482
3,16,3,5,2818
1,16,4,115,78023
2,16,4,115,78023
3,16,4,107,63143
1,16,5,48,32278
2,16,5,48,32278
3,16,5,44,26123
1,16,6,2,1487
2,16,6,2,1487
3,16,6,2,1203
1,16,7,1,955
2,16,7,1,955
3,16,7,1,773
1,16,8,24,16451
2,16,8,24,16451
3,16,8,23,13314
1,16,9,69,46970
2,16,9,69,46970
3,16,9,64,38013
1,16,10,97,65996
2,16,10,97,65996
3,16,10,91,53411
1,16,11,91,61674
2,16,11,91,61674
3,16,11,85,49912
1,16,12,44,29987
2,16,12,44,29987
3,16,12,41,24268
1,16,13,39,26759
2,16,13,39,26759
3,16,13,37,21656
1,16,14,4,2796
2,16,14,4,2796
3,16,14,4,2263
1,16,15,20,13735
2,16,15,20,13735
3,16,15,19,11116
1,16,16,0,0
2,16,16,0,0
3,16,16,0,0
1,16,17,49,33372
2,16,17,49,33372
3,16,17,46,27008
1,16,18,75,50833
2,16,18,75,50833
3,16,18,70,41139
1,16,19,36,24202
2,16,19,36,24202
3,16,19,33,19587
1,16,20,76,51868
2,16,20,76,51868
3,16,20,71,41977
1,16,21,78,53135
2,16,21,78,53135
3,16,21,73,43002
1,16,22,38,25474
2,16,22,38,25474
3,16,22,35,20616
1,16,23,36,24287
2,16,23,36,24287
3,16,23,33,19655
1,16,24,38,25474
2,16,24,38,25474
3,16,24,35,20616
1,16,25,79,53733
2,16,25,79,53733
3,16,25,74,43486
1,16,26,9,6296
2,16,26,9,6296
3,16,26,9,5096
1,16,27,54,36603
2,16,27,54,36603
3,16,27,50,29623
1,16,28,25,17295
2,16,28,25,17295
3,16,28,24,13997
1,16,29,126,85416
2,16,29,126,85416
3,16,29,117,69127
1,16,30,51,34600
2,16,30,51,34600
3,16,30,47,28002
1,16,31,60,40965
2,16,31,60,40965
3,16,31,56,33153
1,16,32,16,11191
2,16,32,16,11191
3,16,32,15,9057
1,16,33,94,64074
2,16,33,94,64074
3,16,33,88,51855
1,16,34,161,109549
2,16,34,161,109549
3,16,34,150,88657
1,16,35,200,135699
2,16,35,200,135699
3,16,35,186,109820
1,16,36,158,107560
2,16,36,158,107560
3,16,36,148,87048
1,16,37,218,147761
2,16,37,218,147761
3,16,37,203,119582
1,16,38,212,143839
2,16,38,212,143839
3,16,38,197,116408
1,16,39,160,108514
2,16,39,160,108514
3,16,39,149,87820
1,17,1,32,22026
2,17,1,32,22026
3,17,1,30,17826
1,17,2,99,66978
2,17,2,99,66978
3,17,2,92,54206
1,17,3,47,31878
2,17,3,47,31878
3,17,3,44,25799
1,17,4,162,109736
2,17,4,162,109736
3,17,4,151,88809
1,17,5,94,63948
2,17,5,94,63948
3,17,5,88,51753
1,17,6,51,34859
2,17,6,51,34859
3,17,6,48,28211
1,17,7,49,33393
2,17,7,49,33393
3,17,7,46,27024
1,17,8,31,20854
2,17,8,31,20854
3,17,8,29,16877
1,17,9,29,19628
2,17,9,29,19628
3,17,9,27,15885
1,17,10,144,97709
2,17,10,144,97709
3,17,10,134,79076
1,17,11,138,93387
2,17,11,138,93387
3,17,11,128,75578
1,17,12,91,61700
2,17,12,91,61700
3,17,12,85,49934
1,17,13,86,58472
2,17,13,86,58472
3,17,13,80,47321
1,17,14,52,34982
2,17,14,52,34982
3,17,14,48,28311
1,17,15,55,37586
2,17,15,55,37586
3,17,15,52,30418
1,17,16,49,33372
2,17,16,49,33372
3,17,16,46,27008
1,17,17,0,0
2,17,17,0,0
3,17,17,0,0
1,17,18,86,58371
2,17,18,86,58371
3,17,18,80,47239
1,17,19,46,31409
2,17,19,46,31409
3,17,19,43,25419
1,17,20,123,83581
2,17,20,123,83581
3,17,20,115,67642
1,17,21,125,84848
2,17,21,125,84848
3,17,21,116,68667
1,17,22,20,13561
2,17,22,20,13561
3,17,22,19,10975
1,17,23,18,12375
2,17,23,18,12375
3,17,23,17,10015
1,17,24,20,13561
2,17,24,20,13561
3,17,24,19,10975
1,17,25,126,85446
2,17,25,126,85446
3,17,25,117,69151
1,17,26,55,37024
2,17,26,55,37024
3,17,26,51,29963
1,17,27,9,5792
2,17,27,9,5792
3,17,27,8,4687
1,17,28,72,48965
2,17,28,72,48965
3,17,28,67,39627
1,17,29,173,117129
2,17,29,173,117129
3,17,29,161,94792
1,17,30,98,66313
2,17,30,98,66313
3,17,30,91,53667
1,17,31,107,72678
2,17,31,107,72678
3,17,31,100,58818
1,17,32,35,24066
2,17,32,35,24066
3,17,32,33,19477
1,17,33,141,95787
2,17,33,141,95787
3,17,33,131,77520
1,17,34,208,141262
2,17,34,208,141262
3,17,34,194,114323
1,17,35,247,167412
2,17,35,247,167412
3,17,35,230,135486
1,17,36,205,139273
2,17,36,205,139273
3,17,36,191,112713
1,17,37,264,179474
2,17,37,264,179474
3,17,37,246,145248
1,17,38,259,175552
2,17,38,259,175552
3,17,38,241,142073
1,17,39,207,140227
2,17,39,207,140227
3,17,39,192,113485
1,18,1,67,45672
2,18,1,67,45672
3,18,1,63,36963
1,18,2,122,82897
2,18,2,122,82897
3,18,2,114,67088
1,18,3,73,49630
2,18,3,73,49630
3,18,3,68,40165
1,18,4,185,125238
2,18,4,185,125238
3,18,4,172,101355
1,18,5,81,54760
2,18,5,81,54760
3,18,5,75,44318
1,18,6,77,52320
2,18,6,77,52320
3,18,6,72,42342
1,18,7,75,50770
2,18,7,75,50770
3,18,7,70,41088
1,18,8,69,46703
2,18,8,69,46703
3,18,8,64,37797
1,18,9,106,71742
2,18,9,106,71742
3,18,9,98,58060
1,18,10,167,113212
2,18,10,167,113212
3,18,10,155,91622
1,18,11,160,108889
2,18,11,160,108889
3,18,11,149,88124
1,18,12,114,77618
2,18,12,114,77618
3,18,12,106,62816
1,18,13,110,74390
2,18,13,110,74390
3,18,13,102,60204
1,18,14,76,51789
2,18,14,76,51789
3,18,14,71,41913
1,18,15,63,42781
2,18,15,63,42781
3,18,15,59,34622
1,18,16,75,50833
2,18,16,75,50833
3,18,16,70,41139
1,18,17,86,58371
2,18,17,86,58371
3,18,17,80,47239
1,18,18,0,0
2,18,18,0,0
3,18,18,0,0
1,18,19,41,28043
2,18,19,41,28043
3,18,19,38,22695
1,18,20,146,99084
2,18,20,146,99084
3,18,20,136,80188
1,18,21,148,100351
2,18,21,148,100351
3,18,21,138,81214
1,18,22,74,50222
2,18,22,74,50222
3,18,22,69,40645
1,18,23,72,49035
2,18,23,72,49035
3,18,23,67,39684
1,18,24,74,50222
2,18,24,74,50222
3,18,24,69,40645
1,18,25,149,100948
2,18,25,149,100948
3,18,25,138,81697
1,18,26,77,52215
2,18,26,77,52215
3,18,26,72,42257
1,18,27,91,61539
2,18,27,91,61539
3,18,27,84,49803
1,18,28,96,64883
2,18,28,96,64883
3,18,28,89,52510
1,18,29,194,131467
2,18,29,194,131467
3,18,29,180,106396
1,18,30,121,82232
2,18,30,121,82232
3,18,30,113,66550
1,18,31,130,88180
2,18,31,130,88180
3,18,31,121,71364
1,18,32,67,45410
2,18,32,67,45410
3,18,32,62,36750
1,18,33,164,111289
2,18,33,164,111289
3,18,33,153,90066
1,18,34,231,156764
2,18,34,231,156764
3,18,34,215,126869
1,18,35,269,182914
2,18,35,269,182914
3,18,35,251,148032
1,18,36,228,154775
2,18,36,228,154775
3,18,36,212,125259
1,18,37,287,194976
2,18,37,287,194976
3,18,37,267,157794
1,18,38,281,191054
2,18,38,281,191054
3,18,38,262,154619
1,18,39,229,155729
2,18,39,229,155729
3,18,39,214,126031
1,19,1,28,18710
2,19,1,28,18710
3,19,1,26,15142
1,19,2,83,56587
2,19,2,83,56587
3,19,2,78,45796
1,19,3,34,22923
2,19,3,34,22923
3,19,3,31,18551
1,19,4,146,99344
2,19,4,146,99344
3,19,4,136,80399
1,19,5,54,36614
2,19,5,54,36614
3,19,5,50,29632
1,19,6,38,25689
2,19,6,38,25689
3,19,6,35,20790
1,19,7,36,24164
2,19,7,36,24164
3,19,7,33,19556
1,19,8,29,19741
2,19,8,29,19741
3,19,8,27,15976
1,19,9,66,44779
2,19,9,66,44779
3,19,9,61,36240
1,19,10,129,87318
2,19,10,129,87318
3,19,10,120,70666
1,19,11,122,82995
2,19,11,122,82995
3,19,11,114,67168
1,19,12,76,51309
2,19,12,76,51309
3,19,12,70,41524
1,19,13,71,48081
2,19,13,71,48081
3,19,13,66,38911
1,19,14,37,25311
2,19,14,37,25311
3,19,14,35,20484
1,19,15,26,17936
2,19,15,26,17936
3,19,15,25,14515
1,19,16,36,24202
2,19,16,36,24202
3,19,16,33,19587
1,19,17,46,31409
2,19,17,46,31409
3,19,17,43,25419
1,19,18,41,28043
2,19,18,41,28043
3,19,18,38,22695
1,19,19,0,0
2,19,19,0,0
3,19,19,0,0
1,19,20,108,73190
2,19,20,108,73190
3,19,20,100,59232
1,19,21,110,74457
2,19,21,110,74457
3,19,21,102,60258
1,19,22,34,23260
2,19,22,34,23260
3,19,22,32,18824
1,19,23,33,22073
2,19,23,33,22073
3,19,23,30,17864
1,19,24,34,23260
2,19,24,34,23260
3,19,24,32,18824
1,19,25,111,75055
2,19,25,111,75055
3,19,25,103,60741
1,19,26,38,25942
2,19,26,38,25942
3,19,26,36,20995
1,19,27,51,34577
2,19,27,51,34577
3,19,27,47,27983
1,19,28,57,38573
2,19,28,57,38573
3,19,28,53,31217
1,19,29,157,106737
2,19,29,157,106737
3,19,29,146,86382
1,19,30,82,55922
2,19,30,82,55922
3,19,30,77,45257
1,19,31,92,62286
2,19,31,92,62286
3,19,31,85,50408
1,19,32,27,18452
2,19,32,27,18452
3,19,32,25,14933
1,19,33,126,85395
2,19,33,126,85395
3,19,33,117,69110
1,19,34,193,130870
2,19,34,193,130870
3,19,34,180,105913
1,19,35,231,157020
2,19,35,231,157020
3,19,35,215,127076
1,19,36,190,128881
2,19,36,190,128881
3,19,36,177,104303
1,19,37,249,169082
2,19,37,249,169082
3,19,37,232,136838
1,19,38,243,165160
2,19,38,243,165160
3,19,38,227,133664
1,19,39,191,129835
2,19,39,191,129835
3,19,39,178,105076
1,20,1,95,64634
2,20,1,95,64634
3,20,1,89,52308
1,20,2,43,29053
2,20,2,43,29053
3,20,2,40,23512
1,20,3,80,54147
2,20,3,80,54147
3,20,3,74,43821
1,20,4,40,27333
2,20,4,40,27333
3,20,4,37,22120
1,20,5,73,49733
2,20,5,73,49733
3,20,5,68,40249
1,20,6,79,53355
2,20,6,79,53355
3,20,6,73,43180
1,20,7,75,50913
2,20,7,75,50913
3,20,7,70,41204
1,20,8,98,66661
2,20,8,98,66661
3,20,8,91,53948
1,20,9,143,97180
2,20,9,143,97180
3,20,9,133,78647
1,20,10,23,15306
2,20,10,23,15306
3,20,10,21,12387
1,20,11,16,10984
2,20,11,16,10984
3,20,11,15,8889
1,20,12,50,33929
2,20,12,50,33929
3,20,12,47,27458
1,20,13,50,34014
2,20,13,50,34014
3,20,13,47,27528
1,20,14,72,49099
2,20,14,72,49099
3,20,14,67,39736
1,20,15,90,61075
2,20,15,90,61075
3,20,15,84,49428
1,20,16,76,51868
2,20,16,76,51868
3,20,16,71,41977
1,20,17,123,83581
2,20,17,123,83581
3,20,17,115,67642
1,20,18,146,99084
2,20,18,146,99084
3,20,18,136,80188
1,20,19,108,73190
2,20,19,108,73190
3,20,19,100,59232
1,20,20,0,0
2,20,20,0,0
3,20,20,0,0
1,20,21,4,2385
2,20,21,4,2385
3,20,21,3,1930
1,20,22,112,75683
2,20,22,112,75683
3,20,22,104,61250
1,20,23,110,74496
2,20,23,110,74496
3,20,23,102,60290
1,20,24,112,75683
2,20,24,112,75683
3,20,24,104,61250
1,20,25,4,2983
2,20,25,4,2983
3,20,25,4,2414
1,20,26,75,50737
2,20,26,75,50737
3,20,26,70,41061
1,20,27,128,86813
2,20,27,128,86813
3,20,27,119,70258
1,20,28,55,37208
2,20,28,55,37208
3,20,28,51,30112
1,20,29,53,35807
2,20,29,53,35807
3,20,29,49,28978
1,20,30,40,27036
2,20,30,40,27036
3,20,30,37,21880
1,20,31,18,12432
2,20,31,18,12432
3,20,31,17,10061
1,20,32,90,61400
2,20,32,90,61400
3,20,32,84,49691
1,20,33,20,13384
2,20,33,20,13384
3,20,33,18,10831
1,20,34,87,58859
2,20,34,87,58859
3,20,34,81,47634
1,20,35,125,85009
2,20,35,125,85009
3,20,35,117,68797
1,20,36,84,56870
2,20,36,84,56870
3,20,36,78,46025
1,20,37,143,97071
2,20,37,143,97071
3,20,37,133,78559
1,20,38,137,93149
2,20,38,137,93149
3,20,38,128,75385
1,20,39,85,57824
2,20,39,85,57824
3,20,39,79,46797
1,21,1,97,65901
2,21,1,97,65901
3,21,1,90,53333
1,21,2,45,30320
2,21,2,45,30320
3,21,2,42,24538
1,21,3,82,55414
2,21,3,82,55414
3,21,3,76,44847
1,21,4,39,26406
2,21,4,39,26406
3,21,4,36,21370
1,21,5,75,51000
2,21,5,75,51000
3,21,5,70,41274
1,21,6,80,54622
2,21,6,80,54622
3,21,6,75,44206
1,21,7,77,52180
2,21,7,77,52180
3,21,7,72,42229
1,21,8,100,67928
2,21,8,100,67928
3,21,8,93,54974
1,21,9,145,98447
2,21,9,145,98447
3,21,9,135,79673
1,21,10,21,14380
2,21,10,21,14380
3,21,10,20,11637
1,21,11,15,10057
2,21,11,15,10057
3,21,11,14,8139
1,21,12,52,35196
2,21,12,52,35196
3,21,12,48,28484
1,21,13,52,35281
2,21,13,52,35281
3,21,13,48,28553
1,21,14,74,50366
2,21,14,74,50366
3,21,14,69,40761
1,21,15,92,62342
2,21,15,92,62342
3,21,15,86,50453
1,21,16,78,53135
2,21,16,78,53135
3,21,16,73,43002
1,21,17,125,84848
2,21,17,125,84848
3,21,17,116,68667
1,21,18,148,100351
2,21,18,148,100351
3,21,18,138,81214
1,21,19,110,74457
2,21,19,110,74457
3,21,19,102,60258
1,21,20,4,2385
2,21,20,4,2385
3,21,20,3,1930
1,21,21,0,0
2,21,21,0,0
3,21,21,0,0
1,21,22,113,76950
2,21,22,113,76950
3,21,22,106,62275
1,21,23,112,75763
2,21,23,112,75763
3,21,23,104,61315
1,21,24,113,76950
2,21,24,113,76950
3,21,24,106,62275
1,21,25,3,1736
2,21,25,3,1736
3,21,25,2,1405
1,21,26,77,52004
2,21,26,77,52004
3,21,26,71,42087
1,21,27,130,88080
2,21,27,130,88080
3,21,27,121,71283
1,21,28,57,38475
2,21,28,57,38475
3,21,28,53,31138
1,21,29,52,35526
2,21,29,52,35526
3,21,29,49,28751
1,21,30,42,28303
2,21,30,42,28303
3,21,30,39,22905
1,21,31,20,13699
2,21,31,20,13699
3,21,31,19,11086
1,21,32,92,62667
2,21,32,92,62667
3,21,32,86,50716
1,21,33,18,12457
2,21,33,18,12457
3,21,33,17,10081
